ContainerID,language,dimension,Size,L_Value,Timestamp,CPUPerc,MemUsed,MemLimit,NetReceived,NetSent,BlockRead,BlockWritten
0b396c3fa984,python,2d,high,1000,08:42:21,97.73%,51.72MiB,7.463GiB,741B,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:24,101.78%,59.37MiB,7.463GiB,3.44kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:27,101.39%,54.16MiB,7.463GiB,4.55kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:29,102.70%,56.15MiB,7.463GiB,5.3kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:32,102.44%,59.32MiB,7.463GiB,5.46kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:34,101.27%,58.66MiB,7.463GiB,5.46kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:37,101.15%,59.25MiB,7.463GiB,5.53kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:40,100.14%,51.76MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:42,100.39%,44.2MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:45,100.27%,59.27MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:47,103.09%,51.76MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:50,101.64%,59.35MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:53,101.41%,44.22MiB,7.463GiB,5.74kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:55,100.75%,51.76MiB,7.463GiB,6.01kB,0B,18.7MB,0B
0b396c3fa984,python,2d,high,1000,08:42:58,100.64%,44.21MiB,7.463GiB,6.01kB,0B,18.7MB,0B
e4f17576b5da,python,2d,high,1000,08:43:04,99.80%,51.39MiB,7.463GiB,741B,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:06,100.90%,51.46MiB,7.463GiB,3.24kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:09,100.14%,51.39MiB,7.463GiB,4.48kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:12,100.26%,43.83MiB,7.463GiB,5.1kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:14,100.26%,42.32MiB,7.463GiB,5.46kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:17,100.02%,39.85MiB,7.463GiB,5.46kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:19,99.97%,47.92MiB,7.463GiB,5.53kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:22,99.89%,51.34MiB,7.463GiB,5.74kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:25,100.27%,42.83MiB,7.463GiB,5.74kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:27,99.86%,43.86MiB,7.463GiB,5.74kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:30,100.39%,51.39MiB,7.463GiB,5.74kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:32,100.40%,47.84MiB,7.463GiB,5.74kB,0B,32.8kB,0B
e4f17576b5da,python,2d,high,1000,08:43:35,0.00%,0B,0B,0B,0B,0B,0B
c1b035b08cf5,python,2d,low,500,08:44:20,99.73%,25.91MiB,7.463GiB,741B,0B,3.31MB,0B
c1b035b08cf5,python,2d,low,500,08:44:23,100.65%,23.79MiB,7.463GiB,3.07kB,0B,3.31MB,0B
c1b035b08cf5,python,2d,low,500,08:44:25,98.54%,25.92MiB,7.463GiB,4.17kB,0B,3.31MB,0B
c1b035b08cf5,python,2d,low,500,08:44:28,0.00%,0B,0B,0B,0B,0B,0B
5bff24ad48c6,python,2d,high,1000,08:44:31,100.21%,43.79MiB,7.463GiB,741B,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:33,100.14%,37.57MiB,7.463GiB,3.24kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:36,100.14%,43.79MiB,7.463GiB,4.55kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:39,100.12%,42.3MiB,7.463GiB,5.1kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:41,100.51%,43.82MiB,7.463GiB,5.46kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:44,100.52%,51.46MiB,7.463GiB,5.46kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:46,100.65%,43.78MiB,7.463GiB,5.53kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:49,100.49%,46.39MiB,7.463GiB,5.74kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:51,100.51%,43.8MiB,7.463GiB,5.74kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:54,100.24%,51.41MiB,7.463GiB,5.74kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:57,100.00%,40.36MiB,7.463GiB,5.74kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:44:59,100.38%,51.39MiB,7.463GiB,5.74kB,0B,12.3kB,0B
5bff24ad48c6,python,2d,high,1000,08:45:02,100.76%,51.43MiB,7.463GiB,5.74kB,0B,12.3kB,0B
ba55f8bce18b,python,2d,low,500,08:45:57,99.95%,20.8MiB,7.463GiB,871B,0B,20.5kB,0B
ba55f8bce18b,python,2d,low,500,08:45:59,99.86%,20.96MiB,7.463GiB,3.5kB,0B,20.5kB,0B
ba55f8bce18b,python,2d,low,500,08:46:02,100.64%,22.76MiB,7.463GiB,4.74kB,0B,20.5kB,0B
ba55f8bce18b,python,2d,low,500,08:46:05,0.00%,0B,0B,0B,0B,0B,0B
4708ff098876,python,2d,mid,750,08:46:47,100.43%,34.74MiB,7.463GiB,741B,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:46:50,100.35%,27.3MiB,7.463GiB,3.44kB,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:46:53,100.36%,29.24MiB,7.463GiB,4.55kB,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:46:55,100.51%,29.29MiB,7.463GiB,5.3kB,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:46:58,100.36%,33.93MiB,7.463GiB,5.46kB,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:47:00,100.06%,33.73MiB,7.463GiB,5.53kB,0B,8.19kB,0B
4708ff098876,python,2d,mid,750,08:47:03,100.37%,31.29MiB,7.463GiB,5.53kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:34,100.34%,51.46MiB,7.463GiB,741B,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:37,99.94%,39.47MiB,7.463GiB,3.24kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:40,100.26%,51.38MiB,7.463GiB,4.55kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:42,99.96%,41.46MiB,7.463GiB,5.1kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:45,100.26%,51.34MiB,7.463GiB,5.46kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:47,100.23%,43.76MiB,7.463GiB,5.53kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:50,100.11%,43.73MiB,7.463GiB,5.53kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:53,100.14%,47.45MiB,7.463GiB,5.74kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:55,99.99%,51.46MiB,7.463GiB,5.74kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:51:58,99.61%,49.52MiB,7.463GiB,5.74kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:52:00,99.49%,51.45MiB,7.463GiB,5.74kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:52:03,100.23%,43.81MiB,7.463GiB,5.81kB,0B,8.19kB,0B
1eec0cd60c64,python,2d,high,1000,08:52:06,0.00%,0B,0B,0B,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:30,100.24%,44.48MiB,7.463GiB,741B,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:33,100.36%,51.39MiB,7.463GiB,3.65kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:36,99.49%,50.83MiB,7.463GiB,4.55kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:38,99.98%,43.8MiB,7.463GiB,5.3kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:41,100.46%,43.74MiB,7.463GiB,5.46kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:43,100.23%,43.77MiB,7.463GiB,5.53kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:46,100.14%,36.22MiB,7.463GiB,5.74kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:49,100.35%,51.38MiB,7.463GiB,5.74kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:51,100.23%,37.14MiB,7.463GiB,5.74kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:54,100.25%,47.64MiB,7.463GiB,5.74kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:56,100.25%,50.93MiB,7.463GiB,5.74kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:53:59,100.38%,51.43MiB,7.463GiB,5.81kB,0B,0B,0B
196bee7856ae,python,2d,high,1000,08:54:01,99.74%,51.43MiB,7.463GiB,5.81kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:08,100.38%,49.19MiB,7.463GiB,991B,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:10,100.50%,51.39MiB,7.463GiB,3.27kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:13,100.37%,44.02MiB,7.463GiB,4.55kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:15,100.14%,51.42MiB,7.463GiB,4.92kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:18,100.26%,51.34MiB,7.463GiB,5.08kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:21,100.27%,51.44MiB,7.463GiB,5.08kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:23,100.01%,41.2MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:26,100.00%,51.42MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:28,100.39%,51.35MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:31,100.34%,44.04MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:34,100.61%,43.85MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:36,100.27%,51.41MiB,7.463GiB,5.36kB,0B,0B,0B
511e5f229072,python,2d,high,1000,08:54:39,0.00%,0B,0B,0B,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:37,100.25%,26.22MiB,7.463GiB,901B,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:40,100.64%,30.39MiB,7.463GiB,3.27kB,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:42,100.39%,34.72MiB,7.463GiB,4.55kB,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:45,99.99%,34.48MiB,7.463GiB,4.92kB,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:48,99.99%,30.41MiB,7.463GiB,5.08kB,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:50,100.38%,34.09MiB,7.463GiB,5.16kB,0B,0B,0B
1f06666fe629,python,2d,mid,750,08:55:53,99.99%,27.31MiB,7.463GiB,5.36kB,0B,0B,0B
245644ebd2f0,python,2d,low,500,08:56:37,100.14%,21.56MiB,7.463GiB,741B,0B,0B,0B
245644ebd2f0,python,2d,low,500,08:56:40,99.87%,19.46MiB,7.463GiB,3.27kB,0B,0B,0B
245644ebd2f0,python,2d,low,500,08:56:42,100.11%,22.73MiB,7.463GiB,4.55kB,0B,0B,0B
245644ebd2f0,python,2d,low,500,08:56:45,0.00%,0B,0B,0B,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:19,100.09%,30.41MiB,7.463GiB,741B,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:21,99.47%,31.44MiB,7.463GiB,3.24kB,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:24,100.26%,34.58MiB,7.463GiB,4.36kB,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:26,100.14%,30.43MiB,7.463GiB,5.1kB,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:29,99.89%,26.28MiB,7.463GiB,5.46kB,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:32,99.73%,32.21MiB,7.463GiB,5.46kB,0B,0B,0B
f194a507b2c6,python,2d,mid,750,08:57:34,0.00%,0B,0B,0B,0B,0B,0B
